id,question,answer,category
1,How do I check my current data balance?,"Dial *123# from your mobile or log in to the MyTelecom app and go to My Usage. Your remaining data balance will be shown on the dashboard.",data
2,Why is my mobile internet so slow?,"Slow speeds are usually caused by network congestion in your area, being in a low-signal zone, or reaching your high-speed data cap. Try toggling airplane mode off and on to force a network reconnect. If your high-speed data is exhausted your speed is throttled to 512 kbps.",data
3,How do I activate 4G/LTE on my phone?,"Go to Settings > Mobile Network > Preferred Network Type and select 4G/LTE. Make sure your SIM supports 4G and your plan includes it. If the option is missing, contact support to check your account.",connectivity
4,What should I do if I have no signal at home?,"First check our coverage map at telecom.example.com/coverage. If coverage is shown as good in your area try restarting your phone and reseating the SIM card. Persistent issues may require a network investigation - call 611.",connectivity
5,How do I report a network outage?,"You can report an outage by calling 611, using the MyTelecom app under Help > Report an Issue, or tweeting @TelecomSupport. We will send an SMS once the outage is resolved.",connectivity
6,My calls keep dropping. What should I do?,"Call drops are often caused by weak signal, SIM card faults, or a faulty device antenna. Try these steps: 1) Restart the phone 2) Reseat the SIM 3) Test with another SIM if possible 4) Check for network outages via the app.",voice
7,How do I enable Wi-Fi calling?,"Go to Settings > Phone > Wi-Fi Calling and toggle it on. Wi-Fi calling lets you make and receive calls over a Wi-Fi network when cellular signal is weak. Your plan must include this feature; if not, call 611 to add it.",voice
8,Why am I unable to make international calls?,"International calling must be enabled on your account. Log in to the portal, go to Add-ons > International Calling and activate it. Calls are billed at per-minute rates by country unless you have an international bundle.",roaming
9,How do I activate international roaming?,"Log in to MyTelecom > Plan & Services > International Roaming and toggle it on at least 24 hours before travel. Select a roaming bundle to avoid per-MB charges. Roaming is automatically disabled when you return home.",roaming
10,What are the roaming charges in the EU?,"Our EU Roaming Bundle costs $15/day and includes unlimited calls and texts within the EU plus 2 GB of data at local speeds. Without a bundle data is charged at $10/MB and calls at $1.50/minute.",roaming
11,How do I replace a lost or stolen SIM card?,"Report the loss by calling 611 immediately so we can block the SIM. Visit any store with a valid photo ID to get a replacement SIM. A fee of $5 applies. Your number and plan transfer to the new SIM automatically.",sim
12,How long does SIM activation take?,"A new SIM card typically activates within 15 minutes of inserting it. If it has not activated after 1 hour restart the phone. If still inactive call 611 and quote your SIM serial number printed on the SIM card.",sim
13,Can I keep my number when switching to your network?,"Yes. Number porting is free and usually completes within 2 hours on working days. Start the port by calling 611 or visiting a store. Keep your old SIM active until you receive an SMS confirming the port is complete.",sim
14,How do I upgrade my plan?,"Log in to MyTelecom > My Plan > Upgrade and select a new plan. Changes take effect at the start of your next billing cycle. You can also upgrade by calling 611. Downgrading follows the same process but takes effect next cycle.",billing
15,When is my bill due?,"Your bill is generated on your monthly anniversary date and payment is due 14 days later. You can check your exact due date in the MyTelecom app under Billing > Current Bill.",billing
16,Why is my bill higher than usual?,"Common reasons for a higher bill: international roaming charges, premium SMS subscriptions, additional data packs purchased mid-cycle, or a plan change. Go to Billing > Itemised Bill in the app to see a full breakdown.",billing
17,How do I set up autopay?,"Go to MyTelecom > Billing > Payment Methods and add a credit or debit card. Then enable AutoPay. You will receive an SMS reminder 3 days before each payment is taken.",billing
18,How do I get an itemised bill?,"Log in to MyTelecom > Billing > Download Bill and select PDF. Itemised bills show every call, SMS, and data session with date, time, and cost. Bills are available for the last 12 months.",billing
19,How do I unlock my phone for use on another network?,"Phones purchased from us are unlocked after 60 days or when the device is paid off. Submit an unlock request via MyTelecom > Device > Request Unlock or call 611. Unlocking is free of charge.",device
20,My phone shows SIM not detected after a restart. What should I do?,"Power off the phone, remove and reseat the SIM card firmly, then power on again. If the error persists try the SIM in another phone to rule out SIM damage. If the SIM is fine the phone's SIM tray or slot may be faulty.",sim
21,How do I set up a personal hotspot?,"Go to Settings > Personal Hotspot and toggle it on. Set a Wi-Fi password. Note that hotspot usage counts against your monthly data allowance. Some plans restrict hotspot use - check your plan details in the app.",data
22,What is VoLTE and how do I enable it?,"VoLTE (Voice over LTE) provides HD voice calls over the 4G network. Enable it via Settings > Mobile Network > VoLTE. Your device and SIM must support VoLTE. If the option is greyed out call 611 to check compatibility.",voice
23,How do I block unwanted calls and texts?,"You can block a number directly in your phone's call log or contacts app. For persistent spam report the number by texting STOP to 7726. We also offer a free Call Shield service - enable it in MyTelecom > Security.",voice
24,How do I check if there is a network outage in my area?,"Open the MyTelecom app > Help > Network Status and enter your postcode. Alternatively check our live status page at telecom.example.com/status. Planned maintenance windows are listed 48 hours in advance.",connectivity
25,How do I contact customer support?,"Call 611 (free from your mobile), use live chat in the MyTelecom app available 8am-10pm, email support@telecom.example.com, or visit any of our retail stores. Average call wait time is under 3 minutes.",account
